queryID,query_name,qstart,qend,refID,ref_name,rstart,rend,identity,evalue,qproduct,qgeneID,rproduct,rgeneID,merged_query,merged_query_name,merged_ref,merged_ref_name
ewik,Ewik_contig_1,30188,30650,coliflower,Coliflower_contig_1,24239,23777,100,2.27E-106,DNA helicase,AXUUMYTS_CDS_0044,DNA helicase,JDOEVDKM_CDS_0040,ewik - AXUUMYTS_CDS_0044,ewik - AXUUMYTS_CDS_0044 - DNA helicase,coliflower - JDOEVDKM_CDS_0040,coliflower - JDOEVDKM_CDS_0040 - DNA helicase
ewik,Ewik_contig_1,32750,33035,coliflower,Coliflower_contig_1,29994,29826,100,6.18E-35,hypothetical protein,AXUUMYTS_CDS_0049,hypothetical protein,JDOEVDKM_CDS_0051,ewik - AXUUMYTS_CDS_0049,ewik - AXUUMYTS_CDS_0049 - hypothetical protein,coliflower - JDOEVDKM_CDS_0051,coliflower - JDOEVDKM_CDS_0051 - hypothetical protein
ewik,Ewik_contig_1,33044,33650,coliflower,Coliflower_contig_1,38205,37824,100,1.12E-78,protease,AXUUMYTS_CDS_0050,protease,JDOEVDKM_CDS_0072,ewik - AXUUMYTS_CDS_0050,ewik - AXUUMYTS_CDS_0050 - protease,coliflower - JDOEVDKM_CDS_0072,coliflower - JDOEVDKM_CDS_0072 - protease
ewik,Ewik_contig_1,33720,35337,coliflower,Coliflower_contig_1,37638,36591,79.7,1.47E-145,hypothetical protein,AXUUMYTS_CDS_0051,hypothetical protein,JDOEVDKM_CDS_0069,ewik - AXUUMYTS_CDS_0051,ewik - AXUUMYTS_CDS_0051 - hypothetical protein,coliflower - JDOEVDKM_CDS_0069,coliflower - JDOEVDKM_CDS_0069 - hypothetical protein
ewik,Ewik_contig_1,35337,35529,coliflower,Coliflower_contig_1,36180,35988,98.4,8.86E-40,hypothetical protein,AXUUMYTS_CDS_0052,hypothetical protein,JDOEVDKM_CDS_0068,ewik - AXUUMYTS_CDS_0052,ewik - AXUUMYTS_CDS_0052 - hypothetical protein,coliflower - JDOEVDKM_CDS_0068,coliflower - JDOEVDKM_CDS_0068 - hypothetical protein
ewik,Ewik_contig_1,35574,36930,coliflower,Coliflower_contig_1,35749,35041,99.3,1.93E-96,exonuclease,AXUUMYTS_CDS_0053,hypothetical protein,JDOEVDKM_CDS_0065,ewik - AXUUMYTS_CDS_0053,ewik - AXUUMYTS_CDS_0053 - exonuclease,coliflower - JDOEVDKM_CDS_0065,coliflower - JDOEVDKM_CDS_0065 - hypothetical protein
ewik,Ewik_contig_1,36933,37227,coliflower,Coliflower_contig_1,34587,34212,93.4,1.70E-49,hypothetical protein,AXUUMYTS_CDS_0054,hypothetical protein,JDOEVDKM_CDS_0063,ewik - AXUUMYTS_CDS_0054,ewik - AXUUMYTS_CDS_0054 - hypothetical protein,coliflower - JDOEVDKM_CDS_0063,coliflower - JDOEVDKM_CDS_0063 - hypothetical protein
ewik,Ewik_contig_1,37310,37544,coliflower,Coliflower_contig_1,34209,33975,97.4,1.57E-48,hypothetical protein,AXUUMYTS_CDS_0055,hypothetical protein,JDOEVDKM_CDS_0061,ewik - AXUUMYTS_CDS_0055,ewik - AXUUMYTS_CDS_0055 - hypothetical protein,coliflower - JDOEVDKM_CDS_0061,coliflower - JDOEVDKM_CDS_0061 - hypothetical protein
ewik,Ewik_contig_1,37586,37907,coliflower,Coliflower_contig_1,33979,33613,94.8,4.29E-60,hypothetical protein,AXUUMYTS_CDS_0056,hypothetical protein,JDOEVDKM_CDS_0061,ewik - AXUUMYTS_CDS_0056,ewik - AXUUMYTS_CDS_0056 - hypothetical protein,coliflower - JDOEVDKM_CDS_0061,coliflower - JDOEVDKM_CDS_0061 - hypothetical protein
ewik,Ewik_contig_1,38017,38632,coliflower,Coliflower_contig_1,33406,32890,98.8,9.77E-116,Gp2.5-like ssDNA binding protein and ssDNA annealing protein,AXUUMYTS_CDS_0057,Gp2.5-like ssDNA binding protein and ssDNA annealing protein,JDOEVDKM_CDS_0059,ewik - AXUUMYTS_CDS_0057,ewik - AXUUMYTS_CDS_0057 - Gp2.5-like ssDNA binding protein and ssDNA annealing protein,coliflower - JDOEVDKM_CDS_0059,coliflower - JDOEVDKM_CDS_0059 - Gp2.5-like ssDNA binding protein and ssDNA annealing protein
ewik,Ewik_contig_1,39076,39211,coliflower,Coliflower_contig_1,32447,32330,85.2,6.69E-19,hypothetical protein,AXUUMYTS_CDS_0060,hypothetical protein,JDOEVDKM_CDS_0057,ewik - AXUUMYTS_CDS_0060,ewik - AXUUMYTS_CDS_0060 - hypothetical protein,coliflower - JDOEVDKM_CDS_0057,coliflower - JDOEVDKM_CDS_0057 - hypothetical protein
ewik,Ewik_contig_1,39284,41603,coliflower,Coliflower_contig_1,31228,29995,93.6,1.34E-180,DNA polymerase,AXUUMYTS_CDS_0061,DNA polymerase,JDOEVDKM_CDS_0053,ewik - AXUUMYTS_CDS_0061,ewik - AXUUMYTS_CDS_0061 - DNA polymerase,coliflower - JDOEVDKM_CDS_0053,coliflower - JDOEVDKM_CDS_0053 - DNA polymerase
ewik,Ewik_contig_1,42020,41834,coliflower,Coliflower_contig_1,39231,39516,100,3.99E-39,hypothetical protein,AXUUMYTS_CDS_0063,hypothetical protein,JDOEVDKM_CDS_0077,ewik - AXUUMYTS_CDS_0063,ewik - AXUUMYTS_CDS_0063 - hypothetical protein,coliflower - JDOEVDKM_CDS_0077,coliflower - JDOEVDKM_CDS_0077 - hypothetical protein
ewik,Ewik_contig_1,43677,42126,coliflower,Coliflower_contig_1,39515,39986,99.2,2.63E-88,DNA primase,AXUUMYTS_CDS_0065,DNA primase,JDOEVDKM_CDS_0078,ewik - AXUUMYTS_CDS_0065,ewik - AXUUMYTS_CDS_0065 - DNA primase,coliflower - JDOEVDKM_CDS_0078,coliflower - JDOEVDKM_CDS_0078 - DNA primase
ewik,Ewik_contig_1,45505,44713,coliflower,Coliflower_contig_1,40705,41920,87.6,4.37E-128,DNA primase,AXUUMYTS_CDS_0066,DNA primase,JDOEVDKM_CDS_0081,ewik - AXUUMYTS_CDS_0066,ewik - AXUUMYTS_CDS_0066 - DNA primase,coliflower - JDOEVDKM_CDS_0081,coliflower - JDOEVDKM_CDS_0081 - DNA primase
ewik,Ewik_contig_1,45788,45647,coliflower,Coliflower_contig_1,45272,45413,62.2,1.06E-15,hypothetical protein,AXUUMYTS_CDS_0068,hypothetical protein,JDOEVDKM_CDS_0091,ewik - AXUUMYTS_CDS_0068,ewik - AXUUMYTS_CDS_0068 - hypothetical protein,coliflower - JDOEVDKM_CDS_0091,coliflower - JDOEVDKM_CDS_0091 - hypothetical protein
ewik,Ewik_contig_1,48039,47874,coliflower,Coliflower_contig_1,42944,43103,94.4,3.27E-30,hypothetical protein,AXUUMYTS_CDS_0075,hypothetical protein,JDOEVDKM_CDS_0086,ewik - AXUUMYTS_CDS_0075,ewik - AXUUMYTS_CDS_0075 - hypothetical protein,coliflower - JDOEVDKM_CDS_0086,coliflower - JDOEVDKM_CDS_0086 - hypothetical protein
ewik,Ewik_contig_1,48558,48042,coliflower,Coliflower_contig_1,42425,42941,99.4,3.43E-119,hypothetical protein,AXUUMYTS_CDS_0077,hypothetical protein,JDOEVDKM_CDS_0085,ewik - AXUUMYTS_CDS_0077,ewik - AXUUMYTS_CDS_0077 - hypothetical protein,coliflower - JDOEVDKM_CDS_0085,coliflower - JDOEVDKM_CDS_0085 - hypothetical protein
ewik,Ewik_contig_1,48772,48658,coliflower,Coliflower_contig_1,42229,42325,93.5,1.47E-15,hypothetical protein,AXUUMYTS_CDS_0078,hypothetical protein,JDOEVDKM_CDS_0084,ewik - AXUUMYTS_CDS_0078,ewik - AXUUMYTS_CDS_0078 - hypothetical protein,coliflower - JDOEVDKM_CDS_0084,coliflower - JDOEVDKM_CDS_0084 - hypothetical protein
ewik,Ewik_contig_1,49232,48914,coliflower,Coliflower_contig_1,41925,42069,63.8,2.64E-17,hypothetical protein,AXUUMYTS_CDS_0079,hypothetical protein,JDOEVDKM_CDS_0082,ewik - AXUUMYTS_CDS_0079,ewik - AXUUMYTS_CDS_0079 - hypothetical protein,coliflower - JDOEVDKM_CDS_0082,coliflower - JDOEVDKM_CDS_0082 - hypothetical protein
ewik,Ewik_contig_1,49711,50236,coliflower,Coliflower_contig_1,45632,45995,93.2,1.51E-62,terminase small subunit,AXUUMYTS_CDS_0083,terminase small subunit,JDOEVDKM_CDS_0092,ewik - AXUUMYTS_CDS_0083,ewik - AXUUMYTS_CDS_0083 - terminase small subunit,coliflower - JDOEVDKM_CDS_0092,coliflower - JDOEVDKM_CDS_0092 - terminase small subunit
ewik,Ewik_contig_1,50192,50552,coliflower,Coliflower_contig_1,0,456,98,1.30E-30,hypothetical protein,AXUUMYTS_CDS_0084,terminase large subunit,JDOEVDKM_CDS_0001,ewik - AXUUMYTS_CDS_0084,ewik - AXUUMYTS_CDS_0084 - hypothetical protein,coliflower - JDOEVDKM_CDS_0001,coliflower - JDOEVDKM_CDS_0001 - terminase large subunit
ewik,Ewik_contig_1,0,1134,gadget,Gadget_contig_1,1247,1481,98.7,2.36E-48,terminase large subunit,AXUUMYTS_CDS_0001,hypothetical protein,IFXVGPNG_CDS_0004,ewik - AXUUMYTS_CDS_0001,ewik - AXUUMYTS_CDS_0001 - terminase large subunit,gadget - IFXVGPNG_CDS_0004,gadget - IFXVGPNG_CDS_0004 - hypothetical protein
ewik,Ewik_contig_1,1136,2675,gadget,Gadget_contig_1,1483,2461,99.3,1.13E-222,portal protein,AXUUMYTS_CDS_0002,portal protein,IFXVGPNG_CDS_0005,ewik - AXUUMYTS_CDS_0002,ewik - AXUUMYTS_CDS_0002 - portal protein,gadget - IFXVGPNG_CDS_0005,gadget - IFXVGPNG_CDS_0005 - portal protein
ewik,Ewik_contig_1,7434,8031,gadget,Gadget_contig_1,7296,8346,98.9,1.78E-131,minor tail protein,AXUUMYTS_CDS_0006,minor tail protein,IFXVGPNG_CDS_0020,ewik - AXUUMYTS_CDS_0006,ewik - AXUUMYTS_CDS_0006 - minor tail protein,gadget - IFXVGPNG_CDS_0020,gadget - IFXVGPNG_CDS_0020 - minor tail protein
ewik,Ewik_contig_1,8062,8494,gadget,Gadget_contig_1,8377,8809,99.3,2.22E-93,Tail assembly chaperone,AXUUMYTS_CDS_0007,Tail assembly chaperone,IFXVGPNG_CDS_0021,ewik - AXUUMYTS_CDS_0007,ewik - AXUUMYTS_CDS_0007 - Tail assembly chaperone,gadget - IFXVGPNG_CDS_0021,gadget - IFXVGPNG_CDS_0021 - Tail assembly chaperone
ewik,Ewik_contig_1,9743,9293,gadget,Gadget_contig_1,9148,9598,99.3,1.21E-94,tail length tape measure protein,AXUUMYTS_CDS_0008,tail completion or Neck1 protein,IFXVGPNG_CDS_0023,ewik - AXUUMYTS_CDS_0008,ewik - AXUUMYTS_CDS_0008 - tail length tape measure protein,gadget - IFXVGPNG_CDS_0023,gadget - IFXVGPNG_CDS_0023 - tail completion or Neck1 protein
ewik,Ewik_contig_1,48039,47874,gadget,Gadget_contig_1,43173,43362,93.8,1.02E-26,hypothetical protein,AXUUMYTS_CDS_0075,hypothetical protein,IFXVGPNG_CDS_0082,ewik - AXUUMYTS_CDS_0075,ewik - AXUUMYTS_CDS_0075 - hypothetical protein,gadget - IFXVGPNG_CDS_0082,gadget - IFXVGPNG_CDS_0082 - hypothetical protein
ewik,Ewik_contig_1,48772,48658,gadget,Gadget_contig_1,42440,42554,100,3.65E-21,hypothetical protein,AXUUMYTS_CDS_0078,hypothetical protein,IFXVGPNG_CDS_0080,ewik - AXUUMYTS_CDS_0078,ewik - AXUUMYTS_CDS_0078 - hypothetical protein,gadget - IFXVGPNG_CDS_0080,gadget - IFXVGPNG_CDS_0080 - hypothetical protein
ewik,Ewik_contig_1,13627,14200,gadget,Gadget_contig_1,13180,13633,87.9,3.65E-60,hypothetical protein,AXUUMYTS_CDS_0015,HNH endonuclease,IFXVGPNG_CDS_0026,ewik - AXUUMYTS_CDS_0015,ewik - AXUUMYTS_CDS_0015 - hypothetical protein,gadget - IFXVGPNG_CDS_0026,gadget - IFXVGPNG_CDS_0026 - HNH endonuclease
ewik,Ewik_contig_1,15209,14783,gadget,Gadget_contig_1,15612,16062,60.8,2.07E-35,Reverse transcriptase,AXUUMYTS_CDS_0017,tail fiber assembly protein,IFXVGPNG_CDS_0029,ewik - AXUUMYTS_CDS_0017,ewik - AXUUMYTS_CDS_0017 - Reverse transcriptase,gadget - IFXVGPNG_CDS_0029,gadget - IFXVGPNG_CDS_0029 - tail fiber assembly protein
ewik,Ewik_contig_1,18337,17905,gadget,Gadget_contig_1,16594,17026,99.3,2.06E-102,central tail fiber J,AXUUMYTS_CDS_0019,minor tail protein,IFXVGPNG_CDS_0031,ewik - AXUUMYTS_CDS_0019,ewik - AXUUMYTS_CDS_0019 - central tail fiber J,gadget - IFXVGPNG_CDS_0031,gadget - IFXVGPNG_CDS_0031 - minor tail protein
ewik,Ewik_contig_1,21613,21910,gadget,Gadget_contig_1,20643,20826,42.5,2.69E-06,outer membrane protein,AXUUMYTS_CDS_0022,hypothetical protein,IFXVGPNG_CDS_0034,ewik - AXUUMYTS_CDS_0022,ewik - AXUUMYTS_CDS_0022 - outer membrane protein,gadget - IFXVGPNG_CDS_0034,gadget - IFXVGPNG_CDS_0034 - hypothetical protein
ewik,Ewik_contig_1,45875,45974,gadget,Gadget_contig_1,45532,45433,100,3.11E-20,hypothetical protein,AXUUMYTS_CDS_0069,hypothetical protein,IFXVGPNG_CDS_0088,ewik - AXUUMYTS_CDS_0069,ewik - AXUUMYTS_CDS_0069 - hypothetical protein,gadget - IFXVGPNG_CDS_0088,gadget - IFXVGPNG_CDS_0088 - hypothetical protein
ewik,Ewik_contig_1,49245,49461,gadget,Gadget_contig_1,45978,45840,92,3.71E-15,hypothetical protein,AXUUMYTS_CDS_0081,hypothetical protein,IFXVGPNG_CDS_0091,ewik - AXUUMYTS_CDS_0081,ewik - AXUUMYTS_CDS_0081 - hypothetical protein,gadget - IFXVGPNG_CDS_0091,gadget - IFXVGPNG_CDS_0091 - hypothetical protein
ewik,Ewik_contig_1,10938,9717,gadget,Gadget_contig_1,9685,12094,84.3,7.39E-166,tail completion or Neck1 protein,AXUUMYTS_CDS_0009,tail length tape measure protein,IFXVGPNG_CDS_0024,ewik - AXUUMYTS_CDS_0009,ewik - AXUUMYTS_CDS_0009 - tail completion or Neck1 protein,gadget - IFXVGPNG_CDS_0024,gadget - IFXVGPNG_CDS_0024 - tail length tape measure protein
ewik,Ewik_contig_1,25783,26506,gadget,Gadget_contig_1,29029,28198,99.1,3.79E-161,DNA helicase,AXUUMYTS_CDS_0036,DNA helicase,IFXVGPNG_CDS_0052,ewik - AXUUMYTS_CDS_0036,ewik - AXUUMYTS_CDS_0036 - DNA helicase,gadget - IFXVGPNG_CDS_0052,gadget - IFXVGPNG_CDS_0052 - DNA helicase
ewik,Ewik_contig_1,48558,48042,gadget,Gadget_contig_1,42654,43170,99.4,3.44E-119,hypothetical protein,AXUUMYTS_CDS_0077,hypothetical protein,IFXVGPNG_CDS_0081,ewik - AXUUMYTS_CDS_0077,ewik - AXUUMYTS_CDS_0077 - hypothetical protein,gadget - IFXVGPNG_CDS_0081,gadget - IFXVGPNG_CDS_0081 - hypothetical protein
ewik,Ewik_contig_1,48958,48835,gadget,Gadget_contig_1,42255,42378,100,1.37E-24,hypothetical protein,AXUUMYTS_CDS_0079,hypothetical protein,IFXVGPNG_CDS_0079,ewik - AXUUMYTS_CDS_0079,ewik - AXUUMYTS_CDS_0079 - hypothetical protein,gadget - IFXVGPNG_CDS_0079,gadget - IFXVGPNG_CDS_0079 - hypothetical protein
ewik,Ewik_contig_1,12391,13618,gadget,Gadget_contig_1,12102,13170,96,1.05E-198,virion structural protein,AXUUMYTS_CDS_0014,virion structural protein,IFXVGPNG_CDS_0025,ewik - AXUUMYTS_CDS_0014,ewik - AXUUMYTS_CDS_0014 - virion structural protein,gadget - IFXVGPNG_CDS_0025,gadget - IFXVGPNG_CDS_0025 - virion structural protein
ewik,Ewik_contig_1,14782,14248,gadget,Gadget_contig_1,16064,16598,98.8,4.16E-120,minor tail protein,AXUUMYTS_CDS_0016,minor tail protein,IFXVGPNG_CDS_0030,ewik - AXUUMYTS_CDS_0016,ewik - AXUUMYTS_CDS_0016 - minor tail protein,gadget - IFXVGPNG_CDS_0030,gadget - IFXVGPNG_CDS_0030 - minor tail protein
ewik,Ewik_contig_1,17358,15213,gadget,Gadget_contig_1,13643,14699,47.7,6.25E-87,tail fiber protein,AXUUMYTS_CDS_0018,virion structural protein,IFXVGPNG_CDS_0027,ewik - AXUUMYTS_CDS_0018,ewik - AXUUMYTS_CDS_0018 - tail fiber protein,gadget - IFXVGPNG_CDS_0027,gadget - IFXVGPNG_CDS_0027 - virion structural protein
